Task,Model,Accuracy,F1,Precision,Recall,Specificity
Background,spectralis_svdna_no_Histmatching,0.9880993705563778,0.9938313338194,0.9919808959023336,0.9959146924009931,0.29320642585022033
IRF,spectralis_svdna_no_Histmatching,0.9978490956267168,0.19249953048945534,0.2582327714329411,0.20237744329449256,0.9992699857508198
PED,spectralis_svdna_no_Histmatching,0.995194916086697,0.13267707255667194,0.2003617867636006,0.11937525191724524,0.9992826988411306
SRD,spectralis_svdna_no_Histmatching,0.9970910661899195,0.11191445537398077,0.2143651048621435,0.10327080620146681,0.9996776605366767
