Task,Model,Accuracy,F1,Precision,Recall,Specificity
Background,source_topcon,0.04120615539289387,0.022771751946151254,0.016431497786479406,0.03854058786801208,0.3098237434840192
IRF,source_topcon,0.0046407232600518345,0.31511409009004865,0.34132735632887407,0.32998948019252805,0.0022206210696116466
PED,source_topcon,0.015220345419008526,0.22156366948527767,0.3583926450050534,0.1912531579038761,0.001604838948425962
SRD,source_topcon,0.006058141508778552,0.29160701100164443,0.37144943884889653,0.26564747457071075,0.0006709752090834161
