Task,Model,Accuracy,F1,Precision,Recall,Specificity
Background,cirrus_no_svdna,0.0347362868271692,0.018929173049352686,0.021469575219953848,0.02717926590266403,0.2821596305314939
IRF,cirrus_no_svdna,0.005024877789446506,0.3026299502930214,0.36944212582528074,0.2889702741390684,0.0009913970721763014
PED,cirrus_no_svdna,0.01704322751774528,0.18322357826673422,0.3055448331917988,0.1594931980640662,0.0006253841901019438
SRD,cirrus_no_svdna,0.009243926087413461,0.18230655569432733,0.36960697961481276,0.16782523017012518,0.0004663633876265536
