Task,Model,Accuracy,F1,Precision,Recall,Specificity
Background,spectralis_topcon_no-svdna,0.9921623045362337,0.995918612243531,0.9940654155466887,0.9978908308213124,0.350313335386356
IRF,spectralis_topcon_no-svdna,0.9981544852703251,0.23395560604035295,0.24437278799698706,0.25207829082991634,0.9989698995811662
PED,spectralis_topcon_no-svdna,0.9955094176508514,0.11351792712655348,0.21851903618111063,0.09769886307943088,0.9995884068226546
SRD,spectralis_topcon_no-svdna,0.9986815546335799,0.1755400218264887,0.21578072660257308,0.15792180511974888,0.9998474621147698
