Task,Model,Accuracy,F1,Precision,Recall,Specificity
Background,spectralis_topcon_no-svdna,0.014900062330770965,0.007964605377541078,0.014311889971126803,0.004553811600539993,0.3479158585261666
IRF,spectralis_topcon_no-svdna,0.003924169131929166,0.33641169847467806,0.34673020822310724,0.3621666415776295,0.002404026043805985
PED,spectralis_topcon_no-svdna,0.01379014111811196,0.23900395284550383,0.3825439911114786,0.21896320804495512,0.0015104181071809361
SRD,spectralis_topcon_no-svdna,0.004397907255610172,0.32155102482943737,0.3852665173516314,0.29670911450908904,0.0003641759666399176
