Task,Model,Accuracy,F1,Precision,Recall,Specificity
Background,spectralis_no-svdna,0.9887858995337612,0.9942144485895107,0.9894433684563368,0.9992483311824585,0.13898720192096317
IRF,spectralis_no-svdna,0.9970452187213112,0.11684656197161367,0.2165574205111475,0.10769149455688663,0.9996972482525901
PED,spectralis_no-svdna,0.9948050874226102,0.05691180291919937,0.13374988687480188,0.0506397646503491,0.9998421214716264
SRD,spectralis_no-svdna,0.9968712834383218,0.04116727751095462,0.14676960097270064,0.03862363016479195,0.9999638392907403
