Task,Model,Accuracy,F1,Precision,Recall,Specificity
Background,supervised_full_dataset,0.013538305146464903,0.007250328828715766,0.012354417863427171,0.005989834385259217,0.3545260287041591
IRF,supervised_full_dataset,0.003676294340398419,0.35973516614245266,0.377115548132846,0.37107281384768176,0.002381064703926104
PED,supervised_full_dataset,0.012058779468364807,0.2987090044761251,0.3803350659518047,0.27923774377916066,0.0014109192895795843
SRD,supervised_full_dataset,0.002657523565578054,0.34331617311929225,0.39394990185003975,0.3238178273638069,0.00037345313629453066
