,Accuracy,Accuracy,F1,F1,Precision,Precision,Recall,Recall,Specificity,Specificity,Model
,mean,std,mean,std,mean,std,mean,std,mean,std,first
Condition,,,,,,,,,,,
Background,0.9921082687958349,0.015234611199872839,0.9958911048115863,0.008137597961815252,0.9939671080657159,0.014710277038227233,0.9979412563507923,0.004493598572284561,0.3484635509051664,0.3475988243643067,cirrus_topcon_no-svdna
IRF,0.9981556916504764,0.0039224320678935155,0.2350662979238478,0.3368843436540379,0.2463371292075355,0.34727317959258114,0.25426925335594797,0.3642392375769515,0.9989371313137955,0.002524091163113687,cirrus_topcon_no-svdna
PED,0.9954568081803983,0.014049601974685093,0.11234831370366213,0.23793199315329316,0.2188397280301564,0.3836079830172954,0.0963198862013809,0.21739972630265203,0.9996056914999244,0.0014819538884875089,cirrus_topcon_no-svdna
SRD,0.9986760195498163,0.00445366932118928,0.17665764428535652,0.32294199185541306,0.21494863940619127,0.3842438480769442,0.15994207630778073,0.29946311502767303,0.9998370957062039,0.0003919504723271716,cirrus_topcon_no-svdna
