,Accuracy,Accuracy,F1,F1,Precision,Precision,Recall,Recall,Specificity,Specificity,Model
,mean,std,mean,std,mean,std,mean,std,mean,std,first
Condition,,,,,,,,,,,
Background,0.9928210338626462,0.013538305146464903,0.9962601989842532,0.007250328828715766,0.9951943073156622,0.012354417863427171,0.9974217935001359,0.005989834385259217,0.39478171787011934,0.3545260287041591,supervised_full_dataset
IRF,0.9982007277592291,0.003676294340398419,0.26403494434207087,0.35973516614245266,0.28141957367820514,0.377115548132846,0.2707501713898075,0.37107281384768176,0.9990064771880818,0.002381064703926104,supervised_full_dataset
PED,0.9964291001303812,0.012058779468364807,0.16852780994749889,0.2987090044761251,0.2256945663607899,0.3803350659518047,0.15156478915461216,0.27923774377916066,0.9994758973630626,0.0014109192895795843,supervised_full_dataset
SRD,0.9990743889790795,0.002657523565578054,0.19112983674913198,0.34331617311929225,0.22592731314093878,0.39394990185003975,0.1767846343860951,0.3238178273638069,0.9998531059156196,0.00037345313629453066,supervised_full_dataset
