Task,Model,Accuracy,F1,Precision,Recall,Specificity
Background,spectralis_svdna_no_Histmatching,0.020387223683486846,0.010796818499422232,0.01830072564135695,0.009842266444466176,0.334381137664045
IRF,spectralis_svdna_no_Histmatching,0.005026752705543448,0.31169567388416214,0.3737342726914033,0.3409685286268549,0.002131873497853305
PED,spectralis_svdna_no_Histmatching,0.014944148006269871,0.2558191350773862,0.3518318547042897,0.23909829694124712,0.0016375620226614363
SRD,spectralis_svdna_no_Histmatching,0.008460343917978862,0.23552039959615848,0.3775929719364808,0.2392254504085498,0.000853547583392066
