,Accuracy,Accuracy,F1,F1,Precision,Precision,Recall,Recall,Specificity,Specificity,Model
,mean,std,mean,std,mean,std,mean,std,mean,std,first
Condition,,,,,,,,,,,
Background,0.9888300435819876,0.020485774265324778,0.9942372607604395,0.010776906978675003,0.9894762396365963,0.020339270052981633,0.9992595644256149,0.0017685985901929593,0.13972654711363652,0.25829371014372027,spectralis_no-svdna
IRF,0.9970440735084733,0.007745841303955132,0.11648512324500325,0.2450864864145578,0.21316846567886263,0.35467261632148783,0.10708285004117934,0.2468950294329082,0.9997044874264507,0.0009445515549513524,spectralis_no-svdna
PED,0.9948388912927791,0.015672376767041647,0.058303250185513085,0.1836833739408054,0.1364960281347528,0.3188350627401702,0.05215390170099212,0.17103791357800996,0.9998303543539083,0.0007116888473230882,spectralis_no-svdna
SRD,0.9968731470322341,0.009261756700110587,0.041547455335051615,0.15980062257930136,0.1474559399533026,0.3395035359903819,0.03867547682789558,0.15845307565091846,0.9999646609195609,0.00017970321438168116,spectralis_no-svdna
