,Accuracy,Accuracy,F1,F1,Precision,Precision,Recall,Recall,Specificity,Specificity,Model
,mean,std,mean,std,mean,std,mean,std,mean,std,first
Condition,,,,,,,,,,,
Background,0.9862899200969868,0.024550376888299755,0.9928754255566258,0.013036431398682907,0.9915216642149379,0.018543444481275595,0.9945540732881996,0.016564972326118314,0.2361787461263413,0.306830507681363,source_cirrus
IRF,0.9984238103087921,0.0035807510585812953,0.2383632714326462,0.33909122604742364,0.2957051470317644,0.40015956712106676,0.22087671138234577,0.3262984126835007,0.9995747004332167,0.0010891564074705694,source_cirrus
PED,0.9938989684599616,0.017397009163003636,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,source_cirrus
SRD,0.9989728884080823,0.002568674918933807,0.17414628465621548,0.32553059496226555,0.2229705002256547,0.39416477056952615,0.1558230448338074,0.2980325701675228,0.9998110711351316,0.0010383249424927026,source_cirrus
