,Accuracy,Accuracy,F1,F1,Precision,Precision,Recall,Recall,Specificity,Specificity,Model
,mean,std,mean,std,mean,std,mean,std,mean,std,first
Condition,,,,,,,,,,,
Background,0.9709371829524023,0.04012621584072799,0.9846569962715834,0.02210836261216559,0.9925167409891493,0.017072980011399955,0.9777594190858276,0.03707905742828374,0.30015054987290046,0.30193006622927127,source_topcon
IRF,0.9979216306843561,0.004574311340305947,0.21678778497599874,0.31513416713982456,0.2496437979234236,0.3553100981882658,0.21690092134997527,0.3194463601271805,0.9991282939017935,0.0019108312446621757,source_topcon
PED,0.9949201654628868,0.015499881386414834,0.10977814218593145,0.2159047847282835,0.20829909210246358,0.36479936111751515,0.08615797147488793,0.18139179489857624,0.9995764282982001,0.00102302630816633,source_topcon
SRD,0.9981346380398068,0.006410308620739426,0.1430444314645094,0.2868246380893692,0.19927803293909976,0.3751608286984209,0.1240070506778619,0.25907807665730875,0.999801164151131,0.0005968942383760032,source_topcon
