Task,Model,Accuracy,F1,Precision,Recall,Specificity
Background,cirrus_svdna_no_Histmatching,0.9835719578944788,0.9915044869153241,0.9889902346366354,0.9944265266036273,0.1313338651037732
IRF,cirrus_svdna_no_Histmatching,0.9978287192096424,0.16029877124388253,0.21087606986531157,0.1519499189059426,0.9996159640367558
PED,cirrus_svdna_no_Histmatching,0.9938989684599616,0.0,0.0,0.0,1.0
SRD,cirrus_svdna_no_Histmatching,0.9969167901335584,0.05007708547921365,0.17985106647461094,0.04151745503789035,0.9999721190902624
