Task,Model,Accuracy,F1,Precision,Recall,Specificity
Background,spectralis_no-svdna,0.020536541661215425,0.010803664870522636,0.02039102832958958,0.0018178395346750884,0.2576598054948161
IRF,spectralis_no-svdna,0.007738927358770283,0.24507922673783605,0.35738959302001194,0.2477123090679814,0.0009687626994198904
PED,spectralis_no-svdna,0.01573903996672024,0.18129054745970044,0.316876175190148,0.16801927409278866,0.0006693542543434278
SRD,spectralis_no-svdna,0.009266490000605442,0.15967384938686008,0.33825412885926354,0.15930969241222045,0.00018511701282089023
