Task,Model,Accuracy,F1,Precision,Recall,Specificity
Background,source_cirrus,0.9870639726910252,0.9932884789361489,0.9913765083761251,0.9955005194810446,0.22935151198213094
IRF,source_cirrus,0.9984204237827201,0.23823416229225836,0.2980513923874732,0.2203799153430464,0.999581015511845
PED,source_cirrus,0.9938989684599616,0.0,0.0,0.0,1.0
SRD,source_cirrus,0.9989268555400077,0.1694410305397414,0.22900447122794523,0.14798454372303854,0.9998575893234224
