Task,Model,Accuracy,F1,Precision,Recall,Specificity
Background,source_spectralis_topcon,0.9926940505201004,0.9961940658449681,0.9952339928471641,0.9972539643446604,0.39320684712701076
IRF,source_spectralis_topcon,0.9982408976063746,0.24957244018483418,0.24689449816645725,0.2806637090969175,0.9989262607213709
PED,source_spectralis_topcon,0.9962544234727653,0.154806804285151,0.22491632573906514,0.13541273991769173,0.9994806918535339
SRD,source_spectralis_topcon,0.9989334319191479,0.1905083198253805,0.21620043314128332,0.18146376221088434,0.9997793130213848
