Task,Model,Accuracy,F1,Precision,Recall,Specificity
Background,source_spectralis,0.01677819326184712,0.008950168632053314,0.016166242974674862,0.0042746374299254914,0.3592634981126448
IRF,source_spectralis,0.00448584271670076,0.3255423758807328,0.3255299197514007,0.3851339800422494,0.002740958102540809
PED,source_spectralis,0.01471306404121844,0.25448834672190873,0.3528065482115278,0.24079706251793004,0.0013211705129522477
SRD,source_spectralis,0.006628135140078941,0.2557952792687239,0.3766252090078695,0.24735273665912064,0.0011150502447602692
