Task,Model,Accuracy,F1,Precision,Recall,Specificity
Background,source_spectralis,0.9909034030937524,0.9952714448787746,0.9934548282444701,0.9972314708465048,0.3767042465548097
IRF,source_spectralis,0.9979265659266197,0.22714991351129132,0.22639807613133994,0.2708456686415364,0.9988142274292221
PED,source_spectralis,0.9952671089199152,0.13420935402330436,0.20155946743039743,0.12127795443887132,0.9993551568815324
SRD,source_spectralis,0.9975538987122224,0.13127819207333,0.21176241887628697,0.11688508601224377,0.9996526453378942
