Task,Model,Accuracy,F1,Precision,Recall,Specificity
Background,source_cirrus,0.023225498829602856,0.012302826456329985,0.018650231210474894,0.014460793377456916,0.3003015252781235
IRF,source_cirrus,0.0035866525711546605,0.3388821265116966,0.4014659733009732,0.3258149456149427,0.0010684345440014479
PED,source_cirrus,0.017397009163003636,0.0,0.0,0.0,0.0
SRD,source_cirrus,0.002713529776787798,0.3196975577799955,0.4016765906555912,0.28718428402885127,0.000800546178076509
