Task,Model,Accuracy,F1,Precision,Recall,Specificity
Background,cirrus_only_histmatching,0.0204617317036692,0.010851929898374617,0.01752410942430053,0.010614295790058988,0.3079202114825547
IRF,cirrus_only_histmatching,0.0036647134240372693,0.33530956067541257,0.3972119215853832,0.32779244125087154,0.0011777157448054272
PED,cirrus_only_histmatching,0.016347990387976935,0.2147982016004081,0.36532245343247605,0.18897123186326623,0.0006566624809865324
SRD,cirrus_only_histmatching,0.0035870103104304785,0.306380047496779,0.3877882941791845,0.27603678636932366,0.0006507307289315515
