Task,Model,Accuracy,F1,Precision,Recall,Specificity
Background,spectralis_only_histmatching,0.02113707061111052,0.011095488803692306,0.021155643107738088,0.0014479931760975645,0.2336726366126163
IRF,spectralis_only_histmatching,0.007728077204363034,0.23092084465596896,0.34539080054185667,0.23555088522112874,0.0009353639764704307
PED,spectralis_only_histmatching,0.016129520581004093,0.1577582771733028,0.20669826842116218,0.14359361568723839,0.0005919775610342915
SRD,spectralis_only_histmatching,0.009313166285587916,0.14981642448244242,0.1819095014915985,0.14881190196724647,0.0001711366769867882
